100013	35958
100012	32832
100029	35771
100017	37114
100022	37111
100020	38710
100021	38079
100035	7464
100040	32698
100038	31029
100028	39312
100023	37272
100050	20705
100025	30888
100053	37615
100015	38344
100060	36146
100041	36069
100042	36052
100037	36901
100080	27794
100014	37699
100184	8002
100173	18695
100107	36487
100232	12873
100094	39238
100234	27547
100072	38331
100172	30408
100091	37934
100081	35621
100287	36441
100307	17181
100110	38120
100129	36795
100276	30010
100086	39280
100120	28427
100368	32562
100389	30330
100419	36382
100455	37898
100119	31376
100375	29111
100445	34342
100517	37984
100566	21805
100587	31180
100265	37643
100590	32484
100601	31874
100061	23019
100632	37486
100585	27010
100478	31389
100655	29283
100403	37924
100544	30059
100712	30471
100571	32499
100860	25075
100822	8392
100886	36037
100921	26888
100725	23787
100875	26821
100966	29554
100814	34452
101019	33014
101047	17227
101070	24325
101082	37542
100863	30244
101126	29442
100858	23675
101170	36471
101188	32967
100446	33624
101223	35573
101253	36651
101289	20805
101043	36248
100617	30389
101368	25032
101459	24017
101495	35108
101509	33778
100469	24115
101464	35473
101561	32523
100553	26869
100077	18382
101645	38264
101451	38418
101481	26704
100062	21049
100779	36298
101707	18055
101366	35989
101746	34376
101745	39126
101731	32713
101893	38933
101917	29328
101920	19301
100764	31598
101897	37711
101948	37831
100741	25323
102026	35016
100607	23549
101516	33424
101579	29791
101739	37833
101956	28533
101848	22241
101680	32409
101544	33193
101935	30120
102209	20997
102170	25776
102248	38000
102194	36814
101038	36588
102278	37085
102310	16164
102319	28235
101961	29055
102174	31288
102345	36911
102369	31132
102379	35588
102121	32442
101549	26015
101391	30533
102211	28686
102487	31333
102454	23385
102476	12795
100908	21738
102521	36047
102478	3217
102335	27135
102603	28941
102429	29255
102696	30306
102733	37858
102726	28996
102730	34376
102678	28013
102809	33562
102653	34862
102939	35535
101080	37039
103055	31645
100967	37534
103113	24782
103022	22604
103147	30361
103172	26478
102544	35264
103186	23288
102625	23897
102788	26726
103033	29913
103248	4229
101243	35146
103311	34140
103307	37577
103330	28672
103334	20843
103375	30849
103485	20029
103123	37511
103531	29978
103475	22799
103320	33126
103595	18460
103591	29488
101845	38440
101109	26068
103657	37318
103497	34292
102568	33019
103664	32018
103702	35409
103125	39150
103684	35471
103732	30666
101979	20762
103341	33121
103794	28715
103615	30354
103696	12657
103858	38116
103820	21137
103860	35809
100199	12209
103939	29343
103886	31011
103907	31865
103857	30261
103984	34342
103793	30590
103840	22286
104010	28191
104024	37467
101703	29744
103989	35091
104195	34350
104209	37658
104220	33403
104246	33494
104325	30934
104305	31006
104361	11742
103845	24775
104384	29471
104426	2906
104434	38909
102372	36417
100102	20931
104261	38552
100810	16406
104503	20556
104521	36524
104528	17921
102799	31429
104545	8205
104278	23808
103864	26815
104560	39197
104505	21677
101192	27470
104555	6195
104615	36605
104639	37566
104722	38728
104718	39235
104689	25947
104647	33338
103558	33044
102652	34283
104829	22683
104797	36684
104871	29455
104799	30660
104894	36498
104954	33063
104657	25241
104965	33322
104854	35757
104900	30867
103099	37896
104321	31638
104839	21670
104869	28371
104969	36536
105064	22967
105004	36684
105114	30252
105124	15029
101309	24150
104112	34875
103951	25756
105195	38781
104779	25811
105250	37818
105291	38342
105289	37386
105347	3786
105130	32552
105219	21920
105409	20315
105468	35735
105192	19247
105447	32738
105534	28693
105532	15028
105143	33711
105413	31821
105558	36923
105592	31474
105666	33121
104945	28813
105546	38630
104992	23328
105380	31730
105800	17852
105529	29945
105866	35851
105018	28742
103479	31764
105867	35262
105840	30121
100032	23612
105811	31411
105974	35837
106016	18793
105977	29993
106003	30917
105513	20430
105733	22764
106039	29875
105711	35077
105939	25850
105981	29883
105142	33321
106161	37409
105271	28313
106232	28756
104494	16897
106071	27697
106111	31945
106032	24477
106254	17900
106311	10136
106325	2722
106299	37372
105742	29017
106073	37188
105871	32238
105864	27579
106436	34782
105905	24137
106497	29909
106540	31044
106500	26416
103468	17069
106587	33293
106659	17328
106671	39042
105963	24824
106499	34341
106745	27356
105041	31122
